MatrixID,SpeciesAccepted,Authors,YearPublication
238651,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238652,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238653,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238654,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238655,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238656,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238657,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238658,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238659,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238660,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238661,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238662,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238663,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
238664,Himatanthus drasticus,Baldauf; Correa; Ferreira; Santos,2015
